# Serie	AdaMBEFinder	MbeaFinder	ImbeaFinder	FmbeFinder	PmbeFinder	ooMBEAFinder	ParAdaMBEFinder	ParMBE	GMBE
UL	0.003363	0.017176	0.011157	0.030589	0.016988	0.005494	0.001781	0.0436323	0.002689
UF	0.04409	0.575732	0.3139	0.188896	0.265711	0.214804	0.013328	0.111237	0.013815
Mti	0.58311	35.975632	24.564205	14.091544	24.122602	2.870551	0.055151	3.7411	0.074622
TM	0.978306	69.957187	23.782128	7.932492	19.165415	6.995101	0.456563	1.37126	0.107109
AM	4.980376	205.333853	73.005707	123.642658	199.252125	18.612473	1.075022	15.8798	0.190287
WC	2.714876	99.057803	35.623789	13.887849	49.12313	20.004826	0.801385	2.91748	0.630477
YG	3.302413	1566.803789	346.857174	38.250726	126.639632	131.0771	1.105094	11.4779	0.813667
SO	80.271898	10892.928	4818.916217	3705.701797	10933.20081	941.59679	5.015752	691.286	25.416457
Pa	8.444144	44.87964	21.09711	14.000654	23.357696	40.108216	4.830055	9.96999	0.112092
IM	25.44335	1653.056896	754.095207	706.961931	1044.705525	214.471588	2.483686	130.766	1.75973
BX	185.824441	96205.97121	39036.38092	5933.962228	13233.77428	9452.006001	46.013835	892.349	50.146872
GH	193.827416	112488.4466	101206.9587	16616.44722	51647.01689	9638.564218	40.236764	2411.706	132.267004
