# Serie 	AmbeaFinder	AmbeaFinderInter	IntraFinder	IntraFinderPassive	MBEAFinder
AM	8.714396	36.946584	8.521329	53.673048	205.333853
WC	7.167721	29.01532	6.83349	15.938286	99.057803
YG	29.966696	106.545842	35.676926	54.67852	1566.803789
SO	176.945938	1934.955122	248.341247	3097.510774	10892.928
Pa	12.115436	14.662074	11.499936	14.127309	44.87964
IM	61.720329	396.008091	64.819873	490.286317	1653.056896
BX	1609.883913	9015.461167	3521.017874	3724.075551	96205.97121
GH	5084.512974	24270.40418	11126.08096	14351.51854	112488.4466


