# Serie ambea	mbea		imbea		fmbe		pmbe		oombe
UL	3.74	3.652	3.664	3.812	3.732	3.592
UF	3.76	4.12	4.224	4.124	4.284	4.092
Mti	5.668	5.864	5.8	5.732	8.428	12.096
TM	68.376	67.64	68.636	67.272	181.232	99.932
AM	49.112	45.272	48.616	45.176	119.176	174.768
WC	151.24	145.164	150.404	145.064	395.892	236.916
YG	14.376	14.2	13.912	13.5	32.984	37.344
SO	53.244	53.2	53.344	50.944	156.792	433.72
Pa	565.48	496.956	557.532	497.004	1421.184	1031.392
IM	114.04	104.88	113.124	104.084	294.212	524.98
BX	42.44	43.324	41.988	39.152	123.584	200.392
GH	19.468	19.688	19.368	18.476	55.072	105.472
