# Serie 	oombe	parmbe	gmbea100	gmbe2080ti  gmbev100	pos
Mti	2.43219	2.5551	0.074622	0.097647 0.097514	9
WA	1.41229	0.535968	0.008529	0.01197 0.01338	11
TM	4.087	0.948649	0.107109	0.186335 0.183851	10
AM	11.7958	13.436	0.190287	0.512254 0.470786	7
WC	12.8957	2.22515	0.630477	0.714428 0.704114	5
YG	112.834	9.43916	0.813667	1.026395 0.942977	 6
SO	758.113	691.286	25.416457	47.856499 40.949738	2
Pa	19.4803	7.13747	0.112092	0.264876 0.216624	8
IM	147.289	122.764	1.75973	4.216939 3.945794	4
EE	1254.51	395.788	12.839398	25.083718 19.99952	3
BX	8367.2	892.349	50.146872	101.840379 81.026007	1
GH	8524.56	2411.706	132.267004	237.022765 198.84953	0
