# Serie 	gmbe201000	gmbe201500	gmbe301500	gmbe302500	gmbe402500	gmbe403500	pos
Mti	0.16614	0.151309	0.217637	0.101213	0.12337	0.091267	9
WA	0.010577	0.008385	0.009891	0.008473	0.008481	0.008381	10
TM	0.124561	0.120356	0.120039	0.112229	0.117845	0.106534	4
AM	0.419951	0.417623	0.439777	0.354857	0.297184	0.273272	5
WC	0.680892	0.673046	0.628741	0.749228	0.702886	0.658985	7
YG	0.512334	0.528069	0.566943	0.682809	0.84458	0.912398	0
SO	29.797045	28.260038	28.428395	25.443663	25.431525	22.831659	3
Pa	0.188239	0.17476	0.183429	0.185885	0.159237	0.165905	8
IM	2.882922	2.373935	2.390341	1.902544	1.902989	1.675533	6
EE	12.554875	11.627649	13.697608	14.011877	13.207489	14.881259	11
BX	48.743782	46.863875	47.461723	50.761555	50.462581	54.522201	2
GH	151.447789	126.404815	126.67077	132.448439	132.371831	125.70761	1
