# Serie 	WPT	BPT	DP	Q	pos
YG	7.86473	0.785371	2.13805	0.813667	6
GH	798.504853	145.828787	228.669256	132.267004	0
BX	1347.572355	219.682558	291.287225	50.146872	1
SO	284.341316	40.855023	42.350773	25.416457	2
TM	1.663559	0.100631	0.434808	0.107109	10
AM	0.220052	0.322433	0.762432	0.190287	7
IM	3.350607	2.002463	3.358136	1.75973	4
WC	0.521463	0.27717	0.547368	0.630477	5
Pa	0.108373	0.434174	1.114739	0.112092	8
Mti	0.169599	0.048742	0.096734	0.074622	9
WA	0.006288	0.032953	0.07815	0.008529	11
EE	573.828522	119.680925	145.352204	12.839398	3
	
