# Serie 	no_union no_prune WPT BPT	adv	pos
Mti	0.105025 0.367033 0.169599	0.048742	0.074622	0
WA	0.017673 0.014501 0.006288	0.032953	0.008529	4
TM	0.567694 0.11132 1.663559	0.100631	0.107109	7
AM	0.493988 0.848173 0.220052	0.322433	0.190287	8
WC	4.174749 0.687483 0.521463	0.27717	0.630477	10
YG	2.706199 2.914551 7.86473	0.785371	0.813667	1
SO	29.652918 139.942791	284.341316	40.855023 25.416457	6
Pa	0.368634 0.152555 0.108373	0.434174	0.112092	11
IM	3.690027 8.048778 3.350607	2.002463	1.75973	9
EE	14.555743 147.320604 573.828522	119.680925 12.839398	2
BX	50.36966 251.102387 1347.572355	219.682558	50.146872	5
GH	136.121281 1191.009093 798.504853	145.828787	132.267004	3
