# Serie 	warp8	warp16	warp24	warp32	block216	pos
Mti	0.130015	0.074622	0.081784	0.106603	0.121435	9
WA	0.012747	0.008529	0.008865	0.010207	0.011424	11
TM	0.167464	0.107109	0.114962	0.13565	0.163547	10
AM	0.728592	0.190287	0.272992	0.313796	0.217172	7
WC	0.670805	0.630477	0.751476	0.784418	0.803664	5
YG	0.977396	0.813667	1.134444	1.612445	1.322927	6
SO	60.154917	25.416457	36.754032	30.916698	20.908578	2
Pa	0.29264	0.112092	0.140772	0.146843	0.156918	8
IM	5.884452	1.75973	2.258507	2.140698	1.430596	4
EE	19.937169	12.839398	18.305333	19.553531	18.993503	3
BX	67.753101	50.146872	56.471567	50.289066	55.212425	1
GH	262.466189	132.267004	150.984735	124.510208	93.45574	0
